number,chapter,categories,strong_terms,weak_terms_in_verse,commentary_only_terms,n_categories,tamil,translation,explanation,commentary_mv,commentary_mk,label,science_concept,notes
222,23,sky_stars,sky_stars:heaven,,sky_stars:விண் ; light_fire:தீ,1,நல்லாறு எனினும் கொளல்தீது மேலுலகம் / இல்லெனினும் ஈதலே நன்று.,"To beg is bad e'en from the good To give is good, were heaven forbid","To beg is evil, even though it were said that it is a good path (to heaven) To give is good, even though it were said that those who do so cannot obtain heaven","பிறரிடம் பொருள் பெற்றுக் கொள்ளுதல் நல்ல நெறி என்றாலும் கொள்ளல் தீமையானது, மேலுலகம் இல்லை என்றாலும் பிறக்குக் கொடுப்பதே சிறந்தது.",பிறரிடமிருந்து நல்வழியில் பொருளைப் பெற்றாலும் அது பெருமையல்ல; சிறுமையே ஆகும் கொடை வழங்குவதால் மேலுலகம் என்று சொல்லப்படுவது கிட்டிவிடப் போவதில்லை; எனினும் பிறர்க்குக் கொடுத்து வாழ்வதே சிறந்த வாழ்க்கையாகும்,,,
226,23,light_fire,light_fire:தீ*,,,1,அற்றார் அழிபசி தீர்த்தல் அஃதொருவன் / பெற்றான் பொருள்வைப் புழி.,Drive from the poor their gnawing pains If room you seek to store your gains,The removal of the killing hunger of the poor is the place for one to lay up his wealth,வறியவரின் கடும்பசியைத் தீர்க்க வேண்டும் அதுவே பொருள் பெற்ற ஒருவன் அப் பொருளைத் தனக்குப் பிற்காலத்தில் உதவுமாறு சேர்த்து வைக்கும் இடமாகும்.,"பட்டினி எனச் சொல்லி வந்தவரின் பசியைத் தீர்ப்பது வீண் போகாது அதுவே, தான் தேடிய பொருளைப் பிற்காலத்தில் உதவுவதற்கு ஏற்பச் சேமித்து வைக்கக்கூடிய கருவூலமாகும்",,,
227,23,light_fire,light_fire:தீ*,,,1,பாத்தூண் மரீஇ யவனைப் பசியென்னும் / தீப்பிணி தீண்டல் அரிது.,Who shares his food with those who need Hunger shall not harm his creed,The fiery disease of hunger shall never touch him who habitually distributes his food to others,தான் பெற்ற உணவை பலரோடும் பகிர்ந்து உண்ணும் பழக்கம் உடையவனை பசி என்று கூறப்படும் தீயநோய் அணுகுதல் இல்லை.,பகிர்ந்து உண்ணும் பழக்கம் உடையவர்களைப் பசியென்னும் கொடிய நோய் அணுகுவதில்லை,,,
233,24,direction_earth,direction_earth:earth,,,1,ஒன்றா உலகத்து உயர்ந்த புகழல்லால் / பொன்றாது நிற்பதொன் றில்.,Nothing else lasts on earth for e'er Saving high fame of the giver!,"There is nothing that stands forth in the world imperishable, except fame, exalted in solitary greatness",உயர்ந்த புகழ் அல்லாமல் உலகத்தில் ஒப்பற்ற ஒரு பொருளாக அழியாமல் நிலைநிற்க வல்லது வேறொன்றும் இல்லை.,"ஒப்பற்றதாகவும், அழிவில்லாததாகவும் இந்த உலகத்தில் நிலைத்திருப்பது புகழைத் தவிர வேறு எதுவுமே இல்லை",,,
234,24,sky_stars|direction_earth,sky_stars:heaven ; direction_earth:earth,direction_earth:உலகு*,direction_earth:உலகம்,2,நிலவரை நீள்புகழ் ஆற்றின் புலவரைப் / போற்றாது புத்தேள் உலகு.,From hailing gods heavens will cease To hail the men of lasting praise,"If one has acquired extensive fame within the limits of this earth, the world of the Gods will no longer praise those sages who have attained that world","நிலவுலகின் எல்லையில் நெடுங்காலம் நிற்கவல்ல புகழைச் செய்தால், வானுலகம் (அவ்வாறு புகழ் செய்தாரைப் போற்றுமே அல்லாமல்) தேவரைப் போற்றாது..","இனிவரும் புதிய உலகம்கூட இன்றைய உலகில் தன்னலம் துறந்து புகழ் ஈட்டிய பெருமக்களை விடுத்து, அறிவாற்றல் உடையவரை மட்டும் போற்றிக் கொண்டிராது",,,
238,24,direction_earth,direction_earth:earth,vibration_sound:இசை*,,1,வசையென்ப வையத்தார்க் கெல்லாம் இசையென்னும் / எச்சம் பெறாஅ விடின்.,To men on earth it is a shame Not to beget the child of fame,Not to beget fame will be esteemed a disgrace by the wise in this world,தமக்குப் பின் எஞ்சி நிற்பதாகியப் புகழைப் பெறாவிட்டால் உலகத்தார் எல்லார்க்கும் அத்தகைய வாழ்க்கை பழி என்று சொல்லுவர்.,"தமக்குப் பிறகும் எஞ்சி நிற்கக் கூடிய புகழைப் பெறாவிட்டால், அது அந்த வாழ்க்கைக்கே வந்த பழியென்று வையம் கூறும்",,,
239,24,direction_earth,"direction_earth:நிலம்*,earth",vibration_sound:இசை*,cosmos_origin:உயிர்,1,வசையிலா வண்பயன் குன்றும் இசையிலா / யாக்கை பொறுத்த நிலம்.,The land will shrink in yield if men O'erburden it without renown,The ground which supports a body without fame will diminish in its rich produce,"புகழ் பெறாமல் வாழ்வைக் கழித்தவருடைய உடம்பைச் சுமந்த நிலம், வசையற்ற வளமான பயனாகிய விளைவு இல்லாமல் குன்றிவிடும்.","புகழ் எனப்படும் உயிர் இல்லாத வெறும் மனித உடலைச் சுமந்தால், இந்தப்பூமி நல்ல விளைவில்லாத நிலமாகக் கருதப்படும்",,,
242,25,sky_stars|vibration_sound,sky_stars:heaven ; vibration_sound:sound,,,2,நல்லாற்றாள் நாடி அருளாள்க பல்லாற்றால் / தேரினும் அஃதே துணை.,Seek by sound ways good compassion; All faiths mark that for-salvation,"(Stand) in the good path, consider, and be kind. Even considering according to the conflicting tenets of the different sects, kindness will be your best aid, (in the acquisition of heavenly bliss.)",நல்ல வழியால் ஆராய்ந்து அருளுடையவர்களாக விளங்க வேண்டும்; பலவழிகளால் ஆராய்ந்து கண்டாலும் அருளே வாழ்க்கைக்குத் துணையாக இருக்கும்.,பலவழிகளால் ஆராய்ந்து கண்டாலும் அருள் உடைமையே வாழ்க்கைக்குத் துணையாய் விளங்கும் நல்வழி எனக் கொள்ளல் வேண்டும்,,,
245,25,direction_earth,direction_earth:earth,,,1,அல்லல் அருளாள்வார்க்கு இல்லை வளிவழங்கும் / மல்லன்மா ஞாலங் கரி.,The wide wind-fed world witness bears: Men of mercy meet not sorrows,"This great rich earth over which the wind blows, is a witness that sorrow never comes upon the kindhearted","அருளுடையவராக வாழ்கின்றவர்களுக்குத் துன்பம் இல்லை, காற்று இயங்குகின்ற வளம் பெரிய உலகத்தில் வாழ்வோரே இதற்குச் சான்று ஆவர்.","உள்ளத்தில் ஊறிடும் அருளின் இயக்கத்தினால் துன்பத்தை உணராமல் கடமையாற்றலாம் என்பதற்கு, காற்றின் இயக்கத்தினால் வலிமையுடன் திகழும் இந்தப் பெரிய உலகமே சான்று",,,
248,25,time_season,"time_season:season,day",,,1,பொருளற்றார் பூப்பர் ஒருகால் அருளற்றார் / அற்றார்மற் றாதல் அரிது.,The wealthless may prosper one day; The graceless never bloom agay,"Those who are without wealth may, at some future time, become prosperous; those who are destitute of kindness are utterly destitute; for them there is no change","பொருள் இல்லாதவர் ஒரு காலத்தில் வளம் பெற்று விளங்குவர், அருள் இல்லாதவர் வாழ்க்கையின் பயம் அற்றவரே அவர் ஒரு காலத்திலும் சிறந்து விளங்குதல் இல்லை.",பொருளை இழந்தவர் அதனை மீண்டும் தேடிப் பெறலாம் அருளை இழந்தால் இழந்ததுதான்; மீண்டும் பெற இயலாது,,,
250,25,vibration_sound,vibration_sound:trembl,,,1,வலியார்முன் தன்னை நினைக்கதான் தன்னின் / மெலியார்மேல் செல்லு மிடத்து.,Think how you feel before the strong When to the feeble you do wrong,"When a man is about to rush upon those who are weaker than himself, let him remember how he has stood (trembling) before those who are stronger than himself","(அருள் இல்லாதவன் ) தன்னை விட மெலிந்தவர் மேல் துன்புறுத்த செல்லும் போது, தன்னை விட வலியவரின் முன் தான் அஞ்சி நிற்கும் நிலைமையை நினைக்க வேண்டும்.","தன்னைவிட மெலிந்தவர்களைத் துன்புறுத்த நினைக்கும் போது, தன்னைவிட வலியவர் முன்னால் அஞ்சி நிற்கும் நிலைமை தனக்கு இருப்பதை மறந்துவிடக் கூடாது",,,
265,27,direction_earth,direction_earth:earth,,,1,வேண்டிய வேண்டியாங் கெய்தலால் செய்தவம் / ஈண்டு முயலப் படும்.,What they wish as they wish is won Here hence by men penance is done,"Religious dislipline is practised in this world, because it secures the attainment of whatever one may wish to enjoy (in the world to come)",விரும்பிய பயன்களை விரும்பியவாறே அடைய முடியுமாகையால் செய்யத்தக்க தவம் இந்நிலையிலும் (இல்லற வாழ்க்கையிலும்) முயன்று செய்யப்படும்.,"உறுதிமிக்க நோன்பினால் விரும்பியதை விரும்பியவாறு அடைய முடியுமாதலால், அது விரைந்து முயன்று செய்யப்படுவதாகும்",,,
267,27,light_fire,"light_fire:fire,glow",light_fire:ஒளி*,,1,சுடச்சுடரும் பொன்போல் ஒளிவிடும் துன்பஞ் / சுடச்சுட நோற்கிற் பவர்க்கு.,Pure and bright gets the gold in fire; and so the life by pain austere,"Just as gold is purified as heated in the fire, will those shine, who have endured the burning of pain (in frequent austerities)",புடமிட்டு சுடச்சுட ஒளிவிடுகின்ற பொன்னைப் போல் தவம் செய்கின்றவரை துன்பம் வருத்த வருத்த மெய்யுணர்வு மிகும்,தம்மைத் தாமே வருத்திக் கொண்டு ஒரு குறிக்கோளுக்காக நோன்பு நோற்பவர்களை எந்தத் துன்பங்கள் தாக்கினாலும் அவர்கள் சுடச்சுட ஒளிவிடும் பொன்னைப் போல் புகழ் பெற்றே உயர்வார்கள்,,,
271,28,cosmos_origin,cosmos_origin:element,,rain_water:நீர் ; light_fire:தீ ; direction_earth:நிலம்,1,வஞ்ச மனத்தான் படிற்றொழுக்கம் பூதங்கள் / ஐந்தும் அகத்தே நகும்.,Elements five of feigned life Of a sly hypocrite within laugh,The five elements (of his body) will laugh within him at the feigned conduct of the deceitful minded man,வஞ்சமனம் உடையவனது பொய்யொழுக்கத்தை அவனுடைய உடம்பில் கலந்து நிற்க்கும் ஐந்து பூதங்களும் கண்டு தம்முள் சிரிக்கும்.,"ஒழுக்க சீலரைப் போல உலகத்தை ஏமாற்றும் வஞ்சகரைப் பார்த்து அவரது உடலில் கலந்துள்ள நிலம், நீர், தீ, காற்று, வெளி எனப்படும் பஞ்சபூதங்களும் தமக்குள் சிரித்துக் கொள்ளும்",,,
272,28,sky_stars,"sky_stars:sky,heaven",,,1,வானுயர் தோற்றம் எவன்செய்யும் தன்னெஞ்சம் / தான்அறி குற்றப் படின்.,Of what avail are sky-high shows When guild the conscience gnaws and knows,"What avails an appearance (of sanctity) high as heaven, if his mind suffers (the indulgence) of conscious sin",தன் மனம் தான் அறிந்த குற்றத்தில் தங்குமானால் வானத்தைப் போல் உயர்ந்துள்ள தவக்கோலம் ஒருவனுக்கு என்ன பயன் செய்யும்.,"தன் மனத்திற்குக் குற்றம் என்று தெரிந்தும்கூட அதைச் செய்பவர், துறவுக்கோலம் பூண்டிருப்பதால் எந்தப் பயனும் இல்லை",,,
275,28,time_season,time_season:day,,,1,பற்றற்றேம் என்பார் படிற்றொழுக்கம் எற்றெற்றென்று / ஏதம் பலவுந் தரும்.,"Who false within but freedom feign Shall moan \""What have we done\"" with pain","The false conduct of those who say they have renounced all desire will one day bring them sorrows that will make them cry out, ""Oh! what have we done, what have we done.""",பற்றுக்களைத் துறந்தோம் என்று சொல்கின்றவரின் பொய்யொழுக்கம் என்ன செய்தோம் என்ன செய்தோம் என்று வருந்தும் படியான துன்பம் பலவும் தரும்.,"எத்தகைய செயல் புரிந்துவிட்டோம் என்று தமக்குத் தாமே வருந்த வேண்டிய துன்பம், பற்றுகளை விட்டு விட்டதாகப் பொய்கூறி, உலகை ஏமாற்றுவோர்க்கு வந்து சேரும்",,,
277,28,time_season,time_season:night,,,1,புறங்குன்றி கண்டனைய ரேனும் அகங்குன்றி / முக்கிற் கரியார் உடைத்து.,"Berry-red is his outward view, Black like its nose his inward hue","(The world) contains persons whose outside appears (as fair) as the (red) berry of the Abrus, but whose inside is as black as the nose of that berry",புறத்தில் குன்றிமணிப்போல் செம்மையானவராய் காணப்பட்டாராயினும் அகத்தில் குன்றிமணியின் மூக்குப்போல் கருத்திருப்பவர் உலகில் உணடு.,"வெளித்தோற்றத்துக்குக் குன்றிமணி போல் சிவப்பாக இருந்தாலும், குன்றிமணியின் முனைபோலக் கறுத்த மனம் படைத்தவர்களும் உலகில் உண்டு",,,
281,29,sky_stars,sky_stars:heaven,,,1,எள்ளாமை வேண்டுவான் என்பான் எனைத்தொன்றும் / கள்ளாமை காக்கதன் நெஞ்சு.,Let him who would reproachless be From all frauds guard his conscience free,"Let him, who desires not to be despised, keep his mind from (the desire of) defrauding another of the smallest thing","பிறரால் இகழப்படால் வாழ விரும்புகிறவன், எத்தன்மையானப் பொருளையும் பிறரிடமிருந்து வஞ்சித்துக்கொள்ள எண்ணாதபடி தன் நெஞ்சைக் காக்க வேண்டும்.",எந்தப் பொருளையும் களவாடும் நினைவு தன் நெஞ்சை அணுகாமல் பார்த்துக் (காத்துக்) கொள்பவனே இகழ்ச்சிக்கு ஆட்படாமல் வாழ முடியும்,,,
282,29,light_fire,light_fire:தீ*,,,1,உள்ளத்தால் உள்ளலும் தீதே பிறன்பொருளைக் / கள்ளத்தால் கள்வேம் எனல்.,"\""We will by fraud win other's wealth\"" Even this thought is sin and stealth",Even the thought (of sin) is sin; think not then of crafiily stealing the property of another,"குற்றமானதை உள்ளத்தால் எண்ணுவதும் குற்றமே, அதானால் பிறன் பொருளை அவன் அறியாதப் வகையால் வஞ்சித்துக்கொள்வோம் என்று எண்ணாதிருக்க வேண்டும்.",பிறருக்குரிய பொருளைச் சூழ்ச்சியினால் கவர்ந்து கொள்ளலாமா என்று ஒருவன் நினைப்பதேகூடக் குற்றமாகும்,,,
290,29,sky_stars,sky_stars:heaven,cosmos_origin:உயிர்*,,1,கள்வார்க்குத் தள்ளும் உயிர்நிலை கள்வார்க்குத் / தள்ளாது புத்தே ளுளகு.,"Even the body rejects thieves; The honest men, heaven receives",Even their body will fail the fraudulent; but even the world of the gods will not fail those who are free from fraud,"களவு செய்வார்க்கு உடலில் உயிர் வாழும் வாழ்வும் தவறிப் போகும், களவு செய்யாமல் வாழ்வோர்க்கு தேவருலகும் வாய்க்கத் தவறாது.","களவாடுபவர்க்கு உயிர் வாழ்வதேகூடத் தவறிப்போகும்; களவை நினைத்தும் பார்க்காதவர்க்கோ, புகழுலக வாழ்க்கை தவறவே தவறாது",,,
291,30,light_fire,light_fire:தீ*,,,1,வாய்மை எனப்படுவது யாதெனின் யாதொன்றும் / தீமை இலாத சொலல்.,"If \""What is truth\""? the question be, It is to speak out evil-free",Truth is the speaking of such words as are free from the least degree of evil (to others),"வாய்மை என்று கூறப்படுவது எது என்றால், அது மற்றவர்க்கு ஒரு சிறிதும் தீங்கு இல்லாத சொற்களைக் சொல்லுதல் ஆகும்.",பிறருக்கு எள்முனையளவு தீமையும் ஏற்படாத ஒரு சொல்லைச் சொல்வதுதான் வாய்மை எனப்படும்,,,
293,30,light_fire,"light_fire:fire,glow",,direction_earth:உலகு,1,தன்நெஞ் சறிவது பொய்யற்க பொய்த்தபின் / தன்நெஞ்சே தன்னைச் சுடும்.,Let not a man knowingly lie; Conscience will scorch and make him sigh,"Let not a man knowingly tell a lie; for after he has told the lie, his mind will burn him (with the memory of his guilt)","ஒருவன் தன் நெஞ்சம் அறிவதாகிய ஒன்றைக்குறித்துப் பொய்ச் சொல்லக்கூடாது, பொய் சொன்னால் அதைக்குறித்துத் தன் நெஞ்சமே தன்னை வருத்தும்.","மனச்சாட்சிக்கு எதிராகப் பொய் சொல்லக்கூடாது; அப்படிச் சொன்னால், சொன்னவரின் மனமே அவரைத் தண்டிக்கும்",,,
298,30,rain_water,rain_water:water,,,1,புறள்தூய்மை நீரான் அமையும் அகந்தூய்மை / வாய்மையால் காணப் படும்.,Water makes you pure outward Truth renders you pure inward,Purity of body is produced by water and purity of mind by truthfulness,"புறத்தே தூய்மையாக விளங்குதல் நீரினால் ஏற்ப்படும், அதுபோல அகத்தே தூய்மையாக விளங்குதல் வாய்மையால் உண்டாகும்.","நீரில் குளிப்பதால் உடலின் அழுக்கு மட்டுமே நீங்கும்; மனம் அழுக்குப்படாமல் தூய்மையுடன் விளங்கிட, சொல்லிலும் செயலிலும் வாய்மை வேண்டும்",,,
299,30,sun|light_fire,"sun:sun ; light_fire:light,radian,lamp",light_fire:விளக்கு*,light_fire:ஒளி,2,எல்லா விளக்கும் விளக்கல்ல சான்றோர்க்குப் / பொய்யா விளக்கே விளக்கு.,All lights are not lights for the wise; Truth light is light bright like Sun-light,All lamps of nature are not lamps; the lamp of truth is the lamp of the wise,"(புறத்தில் உள்ள இருளை நீக்கும்) விளக்குகள் எல்லாம் விளக்குகள் அல்ல, சான்றோர்க்கு (அகத்து இருள் நீக்கும்) பொய்யாமையாகிய விளக்கே விளக்கு ஆகும்.",புறத்தின் இருளைப் போக்கும் விளக்குகளைவிட அகத்தின் இருளைப் போக்கும் பொய்யாமை எனும் விளக்கே ஒருவனை உயர்ந்தோன் எனக் காட்டும் ஒளிமிக்க விளக்காகும்,,,
302,31,light_fire,light_fire:தீ*,,,1,செல்லா இடத்துச் சினந்தீது செல்லிடத்தும் / இல்அதனின் தீய பிற.,Vain is wrath against men of force Against the meek it is still worse,"Anger is bad, even when it cannot injure; when it can injure; there is no greater evil",பலிக்காத இடத்தில் (தன்னை விட வலியவரிடத்தில்) சினம் கொள்வது தீங்கு. பலிக்கும் இடத்திலும் (மெலியவரித்திலும்) சினத்தைவிடத் தீயவை வேறு இல்லை.,"வலியோரிடம் சினம் கொண்டால், அதனால் கேடு விளையும் மெலியோரிடம் சினம் கொண்டாலும் அதைவிடக் கேடு வேறொன்றுமில்லை",,,
303,31,light_fire,light_fire:தீ*,,,1,மறத்தல் வெகுளியை யார்மாட்டும் தீய / பிறத்தல் அதனான் வரும்.,Off with wrath with any one It is the source of sin and pain,"Forget anger towards every one, as fountains of evil spring from it","யாரிடத்திலும் சினம் கொள்ளாமல் அதை மறந்து விட வேண்டும், தீமையான விளைவுகள் அச் சினத்தாலேயே ஏற்படும்.",யார்மீது சினம் கொண்டாலும் அதை மறந்துவிட வேண்டும் இல்லாவிட்டால் அந்தச் சினமே தீய விளைவுகளுக்குக் காரணமாகும்,,,
306,31,light_fire,light_fire:fire,,light_fire:தீ,1,சினமென்னும் சேர்ந்தாரைக் கொல்லி இனமென்னும் / ஏமப் புணையைச் சுடும்.,Friend-killer is the fatal rage It burns the helpful kinship-barge,The fire of anger will burn up even the pleasant raft of friendship,சினம் என்னும் சேர்ந்தவரை அழிக்கும் நெருப்பு ஒருவனுக்கு இனம் இன்பத் தெப்பத்தையும் சுட்டழிக்கும்.,"சினங்கொண்டவரை அழிக்கக் கூடியதாகச் சினமென்னும் தீயே இருப்பதால், அது அவரை மட்டுமின்றி, அவரைப் பாதுகாக்கும் தோணி போன்ற சுற்றத்தையும் அழித்துவிடும்",,,
307,31,direction_earth,direction_earth:earth,,,1,சினத்தைப் பொருளென்று கொண்டவன் கேடு / நிலத்தறைந்தான் கைபிழையா தற்று.,The wrath-lover to doom is bound Like failless-hand that strikes the ground,"Destruction will come upon him who ragards anger as a good thing, as surely as the hand of him who strikes the ground will not fail","(தன் வல்லமை புலப்படுத்தச்) சினத்தை பொருளென்று கொண்டவன் அழிதல், நிலத்தை அறைந்தவனுடைய கை தப்பாதது போல் ஆகும்.",நிலத்தைக் கையால் அறைந்தவனுக்கு அவன் கைதான் வலிக்கும் அது போலத்தான் சினத்தைப் பண்பாகக் கொண்டவன் நிலையும் ஆகும்,,,
308,31,light_fire,light_fire:fire,,"light_fire:சுடர்,தீ",1,இணர்எரி தோய்வன்ன இன்னா செயினும் / புணரின் வெகுளாமை நன்று.,Save thy soul from burning ire Though tortured like the touch of fire,"Though one commit things against you as painful (to bear) as if a bundle of fire had been thrust upon you, it will be well, to refrain, if possible, from anger",பலச் சுடர்களை உடைய பெரு நெருப்பில் தோய்வது போன்ற துன்பத்தை ஒருவன் செய்த போதிலும் கூடுமானால் அவன் மேல் சினங் கொள்ளாதிருத்தல் நல்லது.,தீயினால் சுட்டெரிப்பது போன்ற துன்பங்களை ஒருவன் தொடர்ந்து செய்தாலும் அதற்காக வருந்தி அவன் உறவு கொள்ள வரும் போது சினங்கொள்ளாமல் இருப்பதே நல்லது,,,
313,32,light_fire,light_fire:heat,,light_fire:தீ,1,செய்யாமல் செற்றார்க்கும் இன்னாத செய்தபின் / உய்யா விழுமந் தரும்.,Revenging even causeless hate Bad-blood breeds and baneful heat,"In an ascetic inflict suffering even on those who hate him, when he has not done them any evil, it will afterwards give him irretrievable sorrow",தான் ஒன்றும் செய்யாதிருக்கத் தனக்குத் தீங்கு செய்தவர்க்கும் துன்பமானாவற்றைச் செய்தால் செய்தபிறகு தப்பமுடியாத துன்பத்தையே கொடுக்கும்.,யாருக்கும் கேடு செய்யாமல் இருப்பவருக்குப் பகைவர் கேடு செய்துவிட்டால் அதற்குப் பதிலாக அவருக்கு வரும் கேடு மீளாத் துன்பம் தரக் கூடியதாகும்,,,
324,33,light_fire,light_fire:heat,,,1,நல்லாறு எனப்படுவது யாதெனின் யாதொன்றும் / கொல்லாமை சூழும் நெறி.,What way is good? That we can say The way away from heat to slay,Good path is that which considers how it may avoid killing any creature,"நல்ல வழி என்று அறநூல்களால் சொல்லப்படுவது எது என்றால், எந்த உயிரையும் கொல்லாத அறத்தைப் போற்றும் நெறியாகும்.",எந்த உயிரையும் கொல்லக் கூடாது எனும் நெறி காப்பதுதான் நல்லற வழி எனப்படும்,,,
334,34,time_season,time_season:day,cosmos_origin:உயிர்*,"time_season:காலம்,நாள் ; cosmos_origin:தோன்று",1,நாளென ஒன்றுபோற் காட்டி உயிர்ஈரும் / வாளது உணர்வார்ப் பெறின்.,"The showy day is but a saw Your life, know that, to file and gnaw","Time, which shows itself (to the ignorant) as if it were something (real) is in the estimation of the wise (only) a saw which cuts down life","வாழ்க்கையை ஆராய்ந்து உணர்வாரைப் பெற்றால் நாள் என்பது ஒரு கால அளவுகோல்காட்டி, உயிரை உடம்பிலிருந்து பிரித்து அறுக்கும் வாளாக உள்ளது.","வாழ்க்கையைப் பற்றி உணர்ந்தவர்கள், நாள் என்பது ஒருவரின் ஆயுளை அறுத்துக் குறைத்துக் கொண்டேயிருக்கும் வாள் என்று அறிவார்கள்",,,
337,34,time_season,time_season:day,,,1,ஒருபொழுதும் வாழ்வது அறியார் கருதுப / கோடியும் அல்ல பல.,Man knows not his next moment On crores of things he is intent,"Innumerable are the thoughts which occupy the mind of (the unwise), who know not that they shall live another moment","அறிவில்லாதவர் ஒரு வேளையாவது வாழ்க்கையின் தன்மையை ஆராய்ந்து அறிவதில்லை.ஆனால் வீணீல் எண்ணுவனவோ ஒரு கோடியும் அல்ல, மிகப்பல எண்ணங்கள்.","ஒரு பொழுதுகூட வாழ்க்கையைப் பற்றி உண்மையைச் சிந்தித்து அறியாதவர்களே, ஆசைக்கோர் அளவின்றி மனக் கோட்டைகள் கட்டுவார்கள்",,,
338,34,time_season,time_season:day,,cosmos_origin:உயிர்,1,குடம்பை தனித்துஒழியப் புள்பறந் தற்றே / உடம்பொடு உயிரிடை நட்பு.,The soul from body any day Like bird from egg-shell flies away,The love of the soul to the body is like (the love of) a bird to its egg which it flies away from and leaves empty,"உடம்போடு உயிர்க்கு உள்ள உறவு, தான் இருந்த கூடு தனியே இருக்க அதை விட்டு வேறிடத்திற்குப் பறவை பறந்தாற் போன்றது.",உடலுக்கும் உயிருக்கும் உள்ள உறவு முட்டைக்கும் பறவைக் குஞ்சுக்கும் உண்டான உறவு போன்றதுதான்,,,
348,35,light_fire,light_fire:தீ*,,,1,தலைப்பட்டார் தீரத் துறந்தார் மயங்கி / வலைப்பட்டார் மற்றை யவர்.,Who renounce all are free from care Others suffer delusive snare,"Those who have entirely renounced (all things and all desire) have obtained (absorption into God); all others wander in confusion, entangled in the net of (many) births","முற்றத் துறந்தவறே உயர்ந்த நிலையினர் ஆவர், அவ்வாறு துறக்காத மற்றவர் அறியாமையாகிய வலையில் அகப்பட்டவர் ஆவர்.",அரைகுறையாக இல்லாமல் அனைத்தும் துறந்தவர்களே உயர்ந்த நிலையை அடைவார்கள் அவ்வாறு துறவாதவர்கள் அறியாமையென்னும் வலையில் சிக்கியவர்களாவார்கள்,,,
352,36,sky_stars|time_season,sky_stars:heaven ; time_season:night,,cosmos_origin:தோன்று,2,இருள்நீங்கி இன்பம் பயக்கும் மருள்நீங்கி / மாசறு காட்சி யவர்க்கு.,Men of spotless pure insight Enjoy delight devoid of night,"A clear, undimmed vision of things will deliver its possessors from the darkness of future births, and confer the felicity (of heaven)","மயக்கம் நீங்கிக் குற்றம் அற்ற மெய்யுணர்வை உடையவர்க்கு, அம் மெய்யுணர்வு அறியாமையை நீக்கி இன்ப நிலையைக்கொடுக்கும்.",மயக்கம் தெளிந்து மாசற்ற உண்மையை உணர்ந்தால் அறியாமை அகன்று நலம் தோன்றும்,,,
353,36,sky_stars|direction_earth,"sky_stars:வானம்*,heaven ; direction_earth:earth",,light_fire:தீ ; direction_earth:உலகம்,2,ஐயத்தின் நீங்கித் தெளிந்தார்க்கு வையத்தின் / வானம் நணிய துடைத்து.,To doubtless minds whose heart is clear More than earth heaven is near,Heaven is nearer than earth to those men of purified minds who are freed from from doubt,ஐயத்திலிருந்து நீங்கி மெய்யுணர்வு பெற்றவர்க்கு அடைந்துள்ள இவ்வுலகை விட அடைய வேண்டிய மேலுலகம் அண்மையில் உள்ளதாகும்.,ஐயப்பாடுகளைத் தெளிந்த ஆராய்ச்சி வாயிலாகத் தீர்த்துக் கொண்டவர்களுக்குப் பூமியைவிட வானம் மிக அருகில் இருப்பதாகக் கருதுகின்ற ஊக்கம் ஏற்படும்,,,
358,36,sky_stars,sky_stars:heaven,,,1,பிறப்பென்னும் பேதைமை நீங்கச் சிறப்பென்னும் / செம்பொருள் காண்பது அறிவு.,It is knowledge to know Self-Truth And remove the folly of birth,"True knowledge consists in the removal of ignorance; which is (the cause of) births, and the perception of the True Being who is (the bestower of) heaven",பிறவித்துன்பத்திற்கு காரணமான அறியாமை நீங்குமாறு முக்தி எனும் சிறந்த நிலைக்குக் காரணமான செம் பொருளைக் காண்பதே மெய்யுணர்வு.,அடுத்த பிறப்பு எனக் கூறப்படும் அறியாமையைப் போக்கித் தெளிந்த உண்மையை நிலைநாட்டுவதுதான் அறிவுடைமையாகும்,,,
362,37,direction_earth,direction_earth:earth,,,1,வேண்டுங்கால் வேண்டும் பிறவாமை மற்றது / வேண்டாமை வேண்ட வரும்.,"If long thou must, long for non-birth It comes by longing no more for earth","If anything be desired, freedom from births should be desired; that (freedom from births) will be attained by desiring to be without desire","ஒருவன் ஒன்றை விரும்புவதனால் பிறவா நிலைமையை விரும்ப வேண்டும், அது அவா அற்ற நிலையை விரும்பினால் உண்டாகும்.","விரும்புவதானால் பிறக்காமலே இருந்திருக்கவேண்டும் என்று ஒருவன் எண்ணுகிற அளவுக்கு ஏற்படுகிற துன்ப நிலை, ஆசைகளை ஒழிக்காவிடில் வரும்",,,
363,37,time_season,time_season:ஆண்டு*,,sky_stars:வான் ; light_fire:தீ,1,வேண்டாமை அன்ன விழுச்செல்வம் ஈண்டில்லை / ஆண்டும் அஃதொப்பது இல்.,No such wealth is here and there As peerless wealth of non-desire,"There is in this world no excellence equal to freedom from desire; and even in that world, there is nothing like it","அவா அற்ற நிலைமை போன்ற சிறந்த செல்வம் இவ்வுலகில் இல்லை, வேறு எங்கும் அதற்க்கு நிகரான ஒன்று இல்லை.",தீமை விளைவிக்கும் ஆசைகளை வேண்டாம் என்று புறக்கணிப்பதைப் போன்ற செல்வம் இங்கு எதுவுமில்லை; வேறு எங்கும் கூட அத்தகைய ஒப்பற்ற செல்வம் இல்லையென்றே கூறலாம்,,,
