rank,sim,volume,section_id,section_title,stanza_no,text,source_url,label,notes
46,0.957,6,T292,037. அருள்விளக்க மாலை,68,பரவெளியே நடுவெளியே உபசாந்த வெளியே / பாழ்வெளியே முதலாக ஏழ்வெளிக்கப் பாலும் / விரவியமா மறைகளெலாம் தனித்தனிசென் றளந்தும் / மெய்யளவு காணாதே மெலிந்திளைத்துப் போற்ற / உரவில்அவை தேடியஅவ் வெளிகளுக்குள் வெளியாய் / ஓங்கியஅவ் வெளிகளைத்தன் னுள்அடக்கும் வெளியாய்க் / கரையறநின் றோங்குகின்ற சுத்தசிவ வெளியே / கனிந்தநடத் தரசேஎன் கருத்தும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,A,silver-unverified; seven spaces beyond which the Divine pervades
47,0.957,2,T99,050. ஆற்றா விண்ணப்பம்,8,கடம்பொழி ஓங்கல் உரிஉடை உடுக்கும் கடவுளே கடவுளர் கோவே / மடம்பொழி மனத்தேன் மலஞ்செறிந் தூறும் வாயில்ஓர் ஒன்பதில் வரும்இவ் / உடம்பொழிந் திடுமேல் மீண்டுமீண் டெந்தஉடம்புகொண் டுழல்வனோஎன்று / நடம்பொழி பதத்தாய் நடுங்குகின் றனன்காண் நான்செயும் வகைஎது நவிலே.,https://www.thiruarutpa.org/thirumurai/v/T99/tm/aarraa_vinnappam,M,silver-unverified; generic devotion (light/grace)
48,0.957,6,T277,047. பேரானந்தப் பெருநிலை,4,சீர்வளர் திருச்சிற் றம்பலத் தோங்குஞ் / செல்வமே என்பெருஞ் சிறப்பே / நீர்வளர் நெருப்பே நெருப்பினுள் ஒளியே / நிறைஒளி வழங்கும்ஓர் வெளியே / ஏர்தரு கலாந்த மாதிஆ றந்தத் / திருந்தர சளிக்கின்ற பதியே / பாருறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,M,silver-unverified; generic devotion (light/grace)
49,0.957,5,T148,058. அருண்மொழி மாலை,13,ஒண்கை மழுவோ டனலுடையீ ரொற்றி நகர்வா ழுத்தமர்நீர் / வண்கை யொருமை நாதரென்றேன் வண்கைப் பன்மை நாதரென்றார் / எண்க ணடங்கா வதிசயங்கா ணென்றேன் பொருளன் றிதற்கென்றார் / அண்கொ ளணங்கே யென்னடியவ் வையர் மொழிந்த வருண்மொழியே.,https://www.thiruarutpa.org/thirumurai/v/T148/tm/arunmozi_maalai,M,silver-unverified; generic devotion (light/grace)
50,0.957,5,T177,001. சித்தி விநாயகர் பதிகம்,11,கானல்நீர் விழைந்த மான்என உலகக் கட்டினை நட்டுழன் றலையும் / ஈனவஞ் சகநெஞ் சகப்புலை யேனை ஏன்றுகொண் டருளும்நாள் உளதோ / ஊனம்ஓன் றில்லா உத்தமர் உளத்தே ஓங்குசீர்ப் பிரணவ ஒளியே / வேல்நவில் கரத்தோர்க் கினியவா சித்தி விநாயக விக்கினேச் சுரனே.,https://www.thiruarutpa.org/thirumurai/v/T177/tm/siththi_vin-aayakar_pathikam,M,silver-unverified; generic devotion (light/grace)
51,0.957,6,T349,138. தங்குறுவம்பு,18,வானசிற்கன மந்திரதந்திர வாதசிற்குண மந்தணவந்தண / வாரசற்சன வந்திதசிந்தித வாமஅற்புத மங்கலைமங்கல / ஞானசிற்சுக சங்கரகங்கர ஞாயசற்குண வங்கணஅங்கண / நாதசிற்பர வம்பரநம்பர நாததற்பர விம்பசிதம்பர.,https://www.thiruarutpa.org/thirumurai/v/T349/tm/thangkuruvampu,M,silver-unverified; generic devotion (light/grace)
52,0.956,6,T261,059. வேண்டுகோள்,4,வலத்தவா நாத வலத்தவா சோதி மலையவா மனமுதல் கடந்த / புலத்தவா எனது புலத்தவா தவிர்த்துப் பூரண ஞானநோக் களித்த / நலத்தவா வரையா நலத்தவா மறைகள் நாடியும் காண்பதற் கரிதாம் / பலத்தவா திருஅம் பலத்தவா எல்லாம் படைத்தவா படைத்தவாழ் வருளே.,https://www.thiruarutpa.org/thirumurai/v/T261/tm/veentukool,M,silver-unverified; generic devotion (light/grace)
53,0.956,5,T149,059. இன்ப மாலை,9,வண்மை தருவீ ரொற்றிநின்று வருவீ ரென்னை மருவீர்நீர் / உண்மை யுடையீ ரென்றேனா முடைப்பேம் வணங்கி னோர்க்கென்றார் / கண்மை யுடையீ ரென்றேனீ களமை யுடையேம் யாமென்றார் / தண்மை யருளீ ரென்றேனாந் தகையே யருள்வ தென்றாரே.,https://www.thiruarutpa.org/thirumurai/v/T149/tm/inpa_maalai,M,silver-unverified; generic devotion (light/grace)
54,0.956,6,T372,080. திருவடிப் பெருமை,31,காணிகின்ற ஐங்கருவின் வித்தின்இயல் பலவும் / கருதுறும்அங் குரத்தின்இயல் பற்பலவும் அடியின் / மாணுகின்ற இயல்கள்பல பலப்பலவும் நடுவில் / மன்னும்இயல் பலபலவும் பலப்பலவும் முடியின் / பூணும்இயல் அனந்தவகை புரிந்தபல பலவும் / பொருந்துவதாய் அவ்வவற்றின் புணர்க்கையுந்தான் ஆகி / ஏணுகின்ற அவைகளுக்குட் பற்றாமல் நடிக்கும் / எழிற்கருணைப் பதப்பெருமை இயம்புவதார் தோழி.,https://www.thiruarutpa.org/thirumurai/v/T372/tm/thiruvatip_perumai,M,silver-unverified; generic devotion (light/grace)
55,0.956,6,T260,033. திருமுன் விண்ணப்பம்,7,விளங்கு பொன்னணிப் பொதுநடம் புரிகின்ற விரைமலர்த் திருத்தாளை / உளங்கொள் அன்பர்தம் உளங்கொளும் இறைவநின் ஒப்பிலாப் பெருந்தன்மை / களங்கொள் நாயினேன் விண்ணப்பம் திருச்செவி கலந்தருள் செயல்வேண்டும் / துளங்கும் இவ்வுடல் இம்மையே அழிவுறாத் தொல்லுடல் உறுமாறே.,https://www.thiruarutpa.org/thirumurai/v/T260/tm/thirumun_vinnappam,M,silver-unverified; generic devotion (light/grace)
56,0.956,6,T377,147. அனுபவ மாலை,15,கற்பூரம் கொணர்ந்திடுக தனித்தோழி எனது / கணவர்வரு தருணம்இது கண்ணாறு கழிப்பாம் / எற்பூத நிலைஅவர்தம் திருவடித்தா மரைக்கீழ் / இருப்பதடி கீழிருப்ப தென்றுநினை யேல்காண் / பற்பூத நிலைகடந்து நாதநிலைக் கப்பால் / பரநாத நிலைஅதன்மேல் விளங்குகின்ற தறிநீ / இற்பூவை அவ்வடிக்குக் கண்ணாறு கழித்தால் / எவ்வுலகத் தெவ்வுயிர்க்கும் இனிதுநலந் தருமே.,https://www.thiruarutpa.org/thirumurai/v/T377/tm/anupava_maalai,M,silver-unverified; generic devotion (light/grace)
57,0.956,6,T372,080. திருவடிப் பெருமை,17,தோற்றம்ஒன்றே வடிவொன்று வண்ணம்ஒன்று விளங்கும் / சோதிஒன்று மற்றதனில் துலங்கும்இயல் ஒன்று / ஆற்றஅதில் பரமாய அணுஒன்று பகுதி / அதுஒன்று பகுதிக்குள் அமைந்தகரு ஒன்று / ஏற்றமிக்க அக்கருவுள் சத்திஒன்று சத்திக் / கிறைஒன்றாம் இத்தனைக்கும் என்கணவர் அல்லால் / ஆற்றமற்றோர் அதிகாரி இல்லையடி மன்றில் / ஆடும்அவர் பெருந்தகைமை யார்உரைப்பார் தோழி.,https://www.thiruarutpa.org/thirumurai/v/T372/tm/thiruvatip_perumai,M,silver-unverified; generic devotion (light/grace)
58,0.956,2,T120,067. அர்ப்பித் திரங்கல்,3,ஊட்டு கின்றனை உண்ணுகின் றனன்மேல் / உறக்கு கின்றனை உறங்குகின் றனன்பின் / காட்டு கின்றனை காணுகின் றனன்நீ / களிப்பிக் கின்றனை களிப்புறு கின்றேன் / ஆட்டு கின்றனை ஆடுகின் றனன்இவ் / அகில கோடியும் அவ்வகை யானால் / தீட்டும் அன்பருக் கன்பநின் தனது / சித்தம் அன்றியான் செய்வதொன் றிலையே.,https://www.thiruarutpa.org/thirumurai/v/T120/tm/arppith_thirangkal,M,silver-unverified; generic devotion (light/grace)
59,0.956,6,T259,026. தற்போத இழப்பு,2,கள்ளிருந்த மலர்இதழிச் சடைக்கனிநின் வடிவம் / கண்டுகொண்டேன் சிறிதடியேன் கண்டுகொண்ட படியே / நள்ளிருந்த வண்ணம்இன்னும் கண்டுகண்டு களித்தே / நாடறியா திருப்பம்என்றே நன்றுநினைந் தொருசார் / உள்ளிருந்த எனைத்தெருவில் இழுத்துவிடுத் ததுதான் / உன்செயலோ பெருமாயை தன்செயெலோ அறியேன் / வள்ளிருந்த குணக்கடையேன் இதைநினைக் குந்தோறும் / மனம்ஆலை பாய்வதுகாண் மன்றில்நடத் தரசே.,https://www.thiruarutpa.org/thirumurai/v/T259/tm/tharpootha_izappu,M,silver-unverified; generic devotion (light/grace)
60,0.956,6,T372,080. திருவடிப் பெருமை,30,விளங்கியஐங் கருச்சத்தி ஓர்அனந்தங் கருவில் / விளைகின்ற சத்திகள்ஓர் அனந்தம்விளை வெல்லாம் / வளம்பெறவே தருகின்ற சத்திகள்ஓர் அனந்தம் / மாண்படையத் தருவிக்கும் சத்திகள்ஓர் அனந்தம் / உளங்கொளநின் றதிட்டிக்கும் சத்திகள்ஓர் அனந்தம் / ஓங்கியஇச் சத்திகளைத் தனித்தனியே இயக்கித் / தளங்கொளஈண் டவ்வவற்றிற் குட்புறம்நின் றொளிரும் / சாமிதிரு வடிப்பெருமை சாற்றுவதார் தோழி.,https://www.thiruarutpa.org/thirumurai/v/T372/tm/thiruvatip_perumai,M,silver-unverified; generic devotion (light/grace)
